id_festival,envergure_territoriale_festival,code_insee_commune_festival,adresse_postale_festival,complement_adresse_festival,geocodage_xy_festival,latitude_festival,longitude_festival,id_commune,GeoPoint_festival
1086,Intercommunale,71076,,,"46.7900288793, 4.85191555008",46.7900288793,4.85191555008,27513,POINT(4.85191555008 46.7900288793)
1311,Régionale,71076,52 Quai Saint-Cosme,Site de L'Abattoir,"46.7900288793, 4.85191555008",46.7900288793,4.85191555008,27513,POINT(4.85191555008 46.7900288793)
1678,Régionale,71076,5 B Avenue Nicéphore Niepce,Espace des arts,"46.7900288793, 4.85191555008",46.7900288793,4.85191555008,27513,POINT(4.85191555008 46.7900288793)
1807,Transfrontalière,71076,52 Quai Saint Cosme,,"46.7900288793, 4.85191555008",46.7900288793,4.85191555008,27513,POINT(4.85191555008 46.7900288793)
2654,,71076,52 Rue Quai Saint cosme,,"46.7900288793, 4.85191555008",46.7900288793,4.85191555008,27513,POINT(4.85191555008 46.7900288793)
3469,,71076,,,"46.7900288793, 4.85191555008",46.7900288793,4.85191555008,27513,POINT(4.85191555008 46.7900288793)
5397,,71076,,5 bis avenue Nicéphore Nièpce,"46.7900288793, 4.85191555008",46.7900288793,4.85191555008,27513,POINT(4.85191555008 46.7900288793)
5736,,71076,5 B Avenue Nicephore Niepce,5 rue du port villiers,"46.7900288793, 4.85191555008",46.7900288793,4.85191555008,27513,POINT(4.85191555008 46.7900288793)
4709,,71105,Chemin du Carge d'Arlay,,"46.3041852737, 4.78693813476",46.3041852737,4.78693813476,27541,POINT(4.78693813476 46.3041852737)
5047,,71106,,,"46.4476067658, 4.28009429694",46.4476067658,4.28009429694,27542,POINT(4.28009429694 46.4476067658)
6762,,71118,,,"46.788588171, 4.8058563943",46.788588171,4.8058563943,27553,POINT(4.8058563943 46.788588171)
645,Intercommunale,71120,4 Rue Brionnais Sud Bourgogne,4 RUE ELIE MAURETTE,"46.2065828065, 4.34173989083",46.2065828065,4.34173989083,27555,POINT(4.34173989083 46.2065828065)
1428,Régionale,71127,Rue Grande,,"46.5403336038, 4.50069717167",46.5403336038,4.50069717167,27562,POINT(4.50069717167 46.5403336038)
5246,,71133,,,"46.2892944317, 4.31079967145",46.2892944317,4.31079967145,27568,POINT(4.31079967145 46.2892944317)
6031,,71133,1 Route Route de Charolles,Château de La Clayette,"46.2892944317, 4.31079967145",46.2892944317,4.31079967145,27568,POINT(4.31079967145 46.2892944317)
105,Communale,71137,6 Rue d'Avril,Hôtel des Monnaies,"46.4303628582, 4.67033276327",46.4303628582,4.67033276327,27572,POINT(4.67033276327 46.4303628582)
337,Départementale,71137,20 Route de Paris,,"46.4303628582, 4.67033276327",46.4303628582,4.67033276327,27572,POINT(4.67033276327 46.4303628582)
622,Intercommunale,71137,16 Rue Municipale,,"46.4303628582, 4.67033276327",46.4303628582,4.67033276327,27572,POINT(4.67033276327 46.4303628582)
810,Intercommunale,71137,4 Place du Champs de foire,,"46.4303628582, 4.67033276327",46.4303628582,4.67033276327,27572,POINT(4.67033276327 46.4303628582)
1433,Régionale,71137,,,"46.4303628582, 4.67033276327",46.4303628582,4.67033276327,27572,POINT(4.67033276327 46.4303628582)
1526,Régionale,71137,,,"46.4303628582, 4.67033276327",46.4303628582,4.67033276327,27572,POINT(4.67033276327 46.4303628582)
2045,,71137,13 Place DE L'HOPITAL,,"46.4303628582, 4.67033276327",46.4303628582,4.67033276327,27572,POINT(4.67033276327 46.4303628582)
2662,,71137,1 Place parc abbatial,,"46.4303628582, 4.67033276327",46.4303628582,4.67033276327,27572,POINT(4.67033276327 46.4303628582)
3980,,71137,Rue du 11 Août 1944,,"46.4303628582, 4.67033276327",46.4303628582,4.67033276327,27572,POINT(4.67033276327 46.4303628582)
4333,,71137,,,"46.4303628582, 4.67033276327",46.4303628582,4.67033276327,27572,POINT(4.67033276327 46.4303628582)
4717,,71137,,,"46.4303628582, 4.67033276327",46.4303628582,4.67033276327,27572,POINT(4.67033276327 46.4303628582)
6207,,71137,,,"46.4303628582, 4.67033276327",46.4303628582,4.67033276327,27572,POINT(4.67033276327 46.4303628582)
3480,,71145,,,"46.535532183, 4.69561266719",46.535532183,4.69561266719,27579,POINT(4.69561266719 46.535532183)
3635,,71149,,,"46.869155076, 4.56431598435",46.869155076,4.56431598435,27583,POINT(4.56431598435 46.869155076)
3900,,71149,Place de la Mairie,,"46.869155076, 4.56431598435",46.869155076,4.56431598435,27583,POINT(4.56431598435 46.869155076)
171,Départementale,7115,571 Chemin de Faveirolle,,"44.4680870605, 4.31105082566",44.4680870605,4.31105082566,2143,POINT(4.31105082566 44.4680870605)
6944,,71150,,,"46.2410718628, 4.78718291781",46.2410718628,4.78718291781,27584,POINT(4.78718291781 46.2410718628)
2541,,71153,,,"46.8068539189, 4.42642301163",46.8068539189,4.42642301163,27587,POINT(4.42642301163 46.8068539189)
2843,,71153,,,"46.8068539189, 4.42642301163",46.8068539189,4.42642301163,27587,POINT(4.42642301163 46.8068539189)
3781,,71157,20 Rue Édouard Vuillard,60,"46.5047162667, 5.36399526057",46.5047162667,5.36399526057,27591,POINT(5.36399526057 46.5047162667)
6581,,71157,,,"46.5047162667, 5.36399526057",46.5047162667,5.36399526057,27591,POINT(5.36399526057 46.5047162667)
1152,Intercommunale,71158,2 Chemin Pierre de Coubertin,,"46.5569799009, 4.99361378862",46.5569799009,4.99361378862,27592,POINT(4.99361378862 46.5569799009)
4156,,71158,,,"46.5569799009, 4.99361378862",46.5569799009,4.99361378862,27592,POINT(4.99361378862 46.5569799009)
5410,,71158,,,"46.5569799009, 4.99361378862",46.5569799009,4.99361378862,27592,POINT(4.99361378862 46.5569799009)
684,Intercommunale,71170,route de Chalon,,"46.9145180669, 4.84793098636",46.9145180669,4.84793098636,27604,POINT(4.84793098636 46.9145180669)
2051,,71176,14 Place Hôtel de ville,,"46.4891651235, 4.02511604849",46.4891651235,4.02511604849,27610,POINT(4.02511604849 46.4891651235)
3637,,71176,,,"46.4891651235, 4.02511604849",46.4891651235,4.02511604849,27610,POINT(4.02511604849 46.4891651235)
4159,,71176,,,"46.4891651235, 4.02511604849",46.4891651235,4.02511604849,27610,POINT(4.02511604849 46.4891651235)
7174,,7119,Route de Rajasse,Ferme de Rajasse,"44.8233324216, 4.07465283031",44.8233324216,4.07465283031,2147,POINT(4.07465283031 44.8233324216)
3321,,71202,,,"46.8516219974, 4.78077093032",46.8516219974,4.78077093032,27634,POINT(4.78077093032 46.8516219974)
589,Intercommunale,71221,54 Rue Du 19 mars 1962,,"46.7702122725, 4.75441496992",46.7702122725,4.75441496992,27652,POINT(4.75441496992 46.7702122725)
6595,,71221,,,"46.7702122725, 4.75441496992",46.7702122725,4.75441496992,27652,POINT(4.75441496992 46.7702122725)
