id_festival_wikidata,nom_festival_wikidata,site_internet_festival_wikidata,nombre_de_followers,id_follower_festival_wikidata
http://www.wikidata.org/entity/Q30519517,Festival du Film Nature et de l'Environnement,http://www.festivalfilmnature-murserigne.org,,663
http://www.wikidata.org/entity/Q3059015,Estivales des orgues du Jura,http://www.estivales-des-orgues.fr,,664
http://www.wikidata.org/entity/Q3059019,Estivada,http://www.estivada-rodez.eu,,665
http://www.wikidata.org/entity/Q3059020,Estivales en Puisaye,http://www.estivales-puisaye.com,,666
http://www.wikidata.org/entity/Q3059064,Estuaire,,,667
http://www.wikidata.org/entity/Q3060705,Europa Jazz Festival,http://www.europajazz.fr,,668
http://www.wikidata.org/entity/Q3060992,Euskal Herria Zuzenean,https://ehz.eus,,669
http://www.wikidata.org/entity/Q3066594,Fantastique semaine du cinéma,http://www.samainfilmfestival.com,,670
http://www.wikidata.org/entity/Q3068443,Fenêtres sur le cinéma du Sud de Lyon,https://www.institut-lumiere.org/francais/notules/cinesud.html,,671
http://www.wikidata.org/entity/Q3068784,Feria d'Arles,,,672
http://www.wikidata.org/entity/Q3068785,Feria de Nîmes,,,673
http://www.wikidata.org/entity/Q3069830,"Festival ""Regards sur le cinéma du monde""",http://www.touslescinemadumonde.eu,,674
http://www.wikidata.org/entity/Q3069834,Festival 1001 Notes,https://festival1001notes.com,,675
http://www.wikidata.org/entity/Q3069835,Festival 38e Rugissants,,,676
http://www.wikidata.org/entity/Q3069844,Festival Anuncio,http://www.festival-anuncio.fr,,677
http://www.wikidata.org/entity/Q3069846,Festival Archéo Jazz,http://archeojazz.com/index.html,,678
http://www.wikidata.org/entity/Q3069847,Festival Art Sonic,http://www.festival-artsonic.com,4898,679
http://www.wikidata.org/entity/Q3069850,Festival Arte Flamenco,http://arteflamenco.landes.org,,680
http://www.wikidata.org/entity/Q3069857,Festival Bach en Combrailles,https://www.bachencombrailles.com,,681
http://www.wikidata.org/entity/Q3069858,Festival Bach à Pâques,,,682
http://www.wikidata.org/entity/Q3069860,Festival Beauregard,http://www.festivalbeauregard.com/,12234,683
http://www.wikidata.org/entity/Q3069861,Festival Bebop,,,684
http://www.wikidata.org/entity/Q3069862,Festival Besancourt,http://www.besancourt.fr,,685
http://www.wikidata.org/entity/Q3069865,Festival Blues Passions de Cognac,,,686
http://www.wikidata.org/entity/Q3069868,Festival Cannes et Banlieues,,,687
http://www.wikidata.org/entity/Q3069870,Festival Berlioz,https://www.festivalberlioz.com,,688
http://www.wikidata.org/entity/Q3069871,Festival Cinespaña,https://www.cinespagnol.com/,1745,689
http://www.wikidata.org/entity/Q3069876,Festival CinémaScience,http://www.cnrs.fr/cinemascience/,,690
http://www.wikidata.org/entity/Q3069880,Itinérances - Festival Cinéma d'Alès,http://www.itinerances.org/,,691
http://www.wikidata.org/entity/Q3069887,Festival Entrevues,http://www.festival-entrevues.com/fr,,692
http://www.wikidata.org/entity/Q3069891,Festival Filmer le travail,http://filmerletravail.org/,,693
http://www.wikidata.org/entity/Q3069902,Festival Jacques Brel,,,694
http://www.wikidata.org/entity/Q3069906,Festival Jazz des Cinq Continents,http://www.marseillejazz.com,,695
http://www.wikidata.org/entity/Q3069907,Festival Jean-Carmet,http://www.cinebocage.com/,,696
http://www.wikidata.org/entity/Q3069910,Festival Kann Al Loar,https://www.kann-al-loar.bzh/,,697
http://www.wikidata.org/entity/Q3069914,Festival La Méditerranée de Portet,,,698
http://www.wikidata.org/entity/Q3069917,Festival Le Petit Village,http://www.festival-lepetitvillage.com,,699
http://www.wikidata.org/entity/Q3069920,Festival Les Amateurs !,http://www.les-amateurs.org,,700
http://www.wikidata.org/entity/Q3069924,Festival Les Indisciplinées,http://www.lesindisciplinees.com/,,701
http://www.wikidata.org/entity/Q3069928,Festival Mamers en Mars,http://www.mamers-en-mars.com,,702
http://www.wikidata.org/entity/Q3069930,Festival Manifesto,,,703
http://www.wikidata.org/entity/Q3069936,Festival Montpellier Danse,https://www.montpellierdanse.com,,704
http://www.wikidata.org/entity/Q3069940,Festival Musicacité,,,705
http://www.wikidata.org/entity/Q3069942,Festival Nicéphore +,,,706
http://www.wikidata.org/entity/Q3069943,Festival Musique en Brionnais,http://www.musique-en-charolais-brionnais.com,,707
http://www.wikidata.org/entity/Q3069949,Festival O'les Chœurs,,,708
http://www.wikidata.org/entity/Q3069950,Festival Off and Back,,,709
http://www.wikidata.org/entity/Q3069955,Papillons de nuit,http://www.papillonsdenuit.com/,11441,710
http://www.wikidata.org/entity/Q3069959,Festival Paris quartier d'été,http://www.quartierdete.com,,711
http://www.wikidata.org/entity/Q3069961,Festival Pause Guitare,https://www.pauseguitare.net/,,712
http://www.wikidata.org/entity/Q3069964,Vannes Photos Festival,https://www.vannesphotosfestival.fr/,,713
http://www.wikidata.org/entity/Q3069967,Festival Paris Cinéma,,,714
http://www.wikidata.org/entity/Q3069974,Festival Prototype Vidéo,,,715
http://www.wikidata.org/entity/Q3069975,Festival Présences,http://sites.radiofrance.fr/chaines/orchestres/presences/accueil/,,716
http://www.wikidata.org/entity/Q3069977,Festival Présences électronique,,,717
http://www.wikidata.org/entity/Q3069983,Festival Premiers Plans d'Angers,http://www.premiersplans.org/festival/index.php,5620,718
http://www.wikidata.org/entity/Q3069986,Festival Reflets,,,719
http://www.wikidata.org/entity/Q3069992,Festival Résistances,http://festival-resistances.fr/,,720
http://www.wikidata.org/entity/Q3069994,Festival Scopitone,http://www.scopitone.org,,721
http://www.wikidata.org/entity/Q3069995,Festival Sim Copans,https://www.souillacenjazz.fr,,722
http://www.wikidata.org/entity/Q3069996,Festival Silhouette,https://www.association-silhouette.com/,,723
http://www.wikidata.org/entity/Q3069997,Festival SOY,http://www.festivalsoy.org,,724
http://www.wikidata.org/entity/Q3069998,Festival Sinfonia en Périgord,http://www.sinfonia-en-perigord.com,,725
http://www.wikidata.org/entity/Q3069999,Festival Soirs au Village,,,726
http://www.wikidata.org/entity/Q3070008,Festival Temps d'images,http://www.tempsdimages.eu/,,727
http://www.wikidata.org/entity/Q3070013,Festival Travelling,http://www.clairobscur.info,,728
http://www.wikidata.org/entity/Q3070020,Festival Wazemmes l'Accordéon,https://www.flonflons.eu/,,729
http://www.wikidata.org/entity/Q3070023,festival Yaouank,http://www.yaouank.bzh,2314,730
http://www.wikidata.org/entity/Q3070030,Festival automobile international,http://festivalautomobile.com/,,731
http://www.wikidata.org/entity/Q3070032,Festival aux champs,,,732
http://www.wikidata.org/entity/Q3070033,Festival cinéma muet et piano parlant d'Anères,,,733
http://www.wikidata.org/entity/Q3070035,Festival country de Craponne-sur-Arzon,,,734
http://www.wikidata.org/entity/Q3070036,Festival Coupé Court,,,735
http://www.wikidata.org/entity/Q3070037,Festival de court métrage Cas d'rage de Gagny,,,736
http://www.wikidata.org/entity/Q3070048,Festival d'Ambronay,http://www.ambronay.org/Festivals/,,737
http://www.wikidata.org/entity/Q3070098,Festival d'Anjou,http://www.festivaldanjou.com/,2110,738
http://www.wikidata.org/entity/Q3070099,Festival d'automne à Paris,https://www.festival-automne.com/,11819,739
http://www.wikidata.org/entity/Q3070110,Festival de Bobital,https://www.bobital-festival.fr/,3328,740
http://www.wikidata.org/entity/Q3070112,Festival de Bonaguil,,,741
http://www.wikidata.org/entity/Q3070126,Festival de Confolens,,,742
http://www.wikidata.org/entity/Q3070127,Festival de Domaize,http://www.festivaldedomaize.com,,743
http://www.wikidata.org/entity/Q3070132,Festival de Kertalg,,,744
http://www.wikidata.org/entity/Q3070133,Festival de La Foa,,,745
http://www.wikidata.org/entity/Q3070136,Festival de La Roque-d'Anthéron,http://www.festival-piano.com/,,746
http://www.wikidata.org/entity/Q3070138,Festival Django Reinhardt,http://www.festivaldjangoreinhardt.com/,,747
http://www.wikidata.org/entity/Q3070159,Festival de Montjoux,http://www.montjouxfestival.com,,748
http://www.wikidata.org/entity/Q3070162,Festival de Nohant,https://www.festivalnohant.com,,749
http://www.wikidata.org/entity/Q3070168,Festival du film grolandais,http://fifigrot.com,,750
http://www.wikidata.org/entity/Q3070170,Festival de Ramatuelle,,,751
http://www.wikidata.org/entity/Q3070215,Festival de Sédières,http://www.sedieres.fr/,,752
http://www.wikidata.org/entity/Q3070217,Festival de Théâtre en Val de Luynes,,,753
http://www.wikidata.org/entity/Q3070226,Festival de cinéma de Douarnenez,http://www.festival-douarnenez.com/,,754
http://www.wikidata.org/entity/Q3070230,Les Arcs Film Festival,http://lesarcs-filmfest.com,,755
http://www.wikidata.org/entity/Q3070234,Festival de jazz d'Orléans,http://jazzorjazz.fr/,,756
http://www.wikidata.org/entity/Q3070235,Festival de l'Abbaye de Saint-Michel,http://www.festival-saint-michel.fr,,757
http://www.wikidata.org/entity/Q3070240,Festival de l'histoire de l'art,,,758
http://www.wikidata.org/entity/Q3070245,Festival de l'oiseau et de la nature,https://www.festival-oiseau-nature.com/,,759
http://www.wikidata.org/entity/Q3070252,Festival de la Saint-Loup,http://www.festival-saint-loup.bzh/,,760
http://www.wikidata.org/entity/Q3070257,Festival de la Vézère,http://www.festival-vezere.com,,761
http://www.wikidata.org/entity/Q3070259,Festival de la bande dessinée de Colomiers,,,762
http://www.wikidata.org/entity/Q3070267,Festival de la fiction TV,https://www.festival-fictiontv.com/,,763
http://www.wikidata.org/entity/Q3070289,Festival de la paille,http://www.festivalpaille.fr,1284,764
http://www.wikidata.org/entity/Q3070294,Festival de la science-fiction de Roanne,,,765
http://www.wikidata.org/entity/Q3070308,Festival de musique de Strasbourg,,,766
http://www.wikidata.org/entity/Q3070317,Festival des 24 courts,https://24courts.com/,,767
http://www.wikidata.org/entity/Q3070318,Festival des 7 Collines,http://www.festivaldes7collines.com/,,768
http://www.wikidata.org/entity/Q3070325,Festival des Giboulées,http://www.lesgiboulees.com/,,769
http://www.wikidata.org/entity/Q3070332,Festival des musiques démesurées,http://www.musiquesdemesurees.net,,770
http://www.wikidata.org/entity/Q3070333,Festival des Musiques à Brac,,,771
http://www.wikidata.org/entity/Q3070336,Festival des Traversées Tatihou,https://traversees-tatihou.manche.fr/,,772
http://www.wikidata.org/entity/Q3070339,Festival des Terre-Neuvas,http://www.festival-terre-neuvas.com,,773
http://www.wikidata.org/entity/Q3070341,Festival international des Très Courts,http://www.trescourt.com,,774
http://www.wikidata.org/entity/Q3070344,Festival des châteaux de Bruniquel,https://www.bruniqueloff.com,,775
http://www.wikidata.org/entity/Q3070345,Festival des cinémas d'Irlande et de Grande-Bretagne,,,776
http://www.wikidata.org/entity/Q3070348,Festival des forêts,http://www.festivaldesforets.fr,,777
http://www.wikidata.org/entity/Q3070350,Les Francophonies - Des écritures à la scène,,,778
http://www.wikidata.org/entity/Q3070358,Festival des Vieilles Charrues,https://www.vieillescharrues.asso.fr/,251926,779
http://www.wikidata.org/entity/Q3070359,Festival des jardins de Chaumont-sur-Loire,http://www.domaine-chaumont.fr/festival-international-des-jardins,,780
http://www.wikidata.org/entity/Q3070361,Festival du bout du monde,https://www.festivalduboutdumonde.com/,6207,781
http://www.wikidata.org/entity/Q3070363,Festival du Haut-Limousin,,,782
http://www.wikidata.org/entity/Q3070375,Festival du Roi Arthur,http://www.festivalduroiarthur.fr,3232,783
http://www.wikidata.org/entity/Q3070376,Festival du Thé Vert,,,784
http://www.wikidata.org/entity/Q3070378,Festival du Val-d'Oise,http://www.thea-valdoise.org/,,785
http://www.wikidata.org/entity/Q3070380,Festival du chant de marin de Paimpol,http://www.paimpol-festival.bzh/,,786
http://www.wikidata.org/entity/Q3070388,Festival du cinéma chinois en France,,,787
http://www.wikidata.org/entity/Q3070389,Festival du cinéma de Brive - Rencontres européennes du moyen métrage,http://www.srf-moyenmetrageabrive.com/,,788
http://www.wikidata.org/entity/Q3070390,Festival du cinéma européen de Lille,http://www.eurofilmfest-lille.com/,,789
http://www.wikidata.org/entity/Q3070431,festival du court-métrage de Fontainebleau,http://festivaldebleau.free.fr/,,790
http://www.wikidata.org/entity/Q3070434,Festival du court métrage d'humour de Meudon,http://www.festivalmeudon.org/,,791
http://www.wikidata.org/entity/Q3070435,Festival du court métrage en plein air de Grenoble,https://www.cinemathequedegrenoble.fr/,,792
http://www.wikidata.org/entity/Q3070438,Festival du film Peplum,,,793
http://www.wikidata.org/entity/Q3070439,Festival du film britannique de Dinard,http://www.festivaldufilm-dinard.com,,794
http://www.wikidata.org/entity/Q3070442,Festival du film arabe de Fameck,,,795
http://www.wikidata.org/entity/Q3070448,Festival du film asiatique de Deauville,http://www.deauvilleasia.com,,796
http://www.wikidata.org/entity/Q3070459,Festival du film d'Afrique et des îles,https://festivalfilmafriqueiles.fr,,797
http://www.wikidata.org/entity/Q3070460,Festival du film d'animation de Bègles,http://www.lesnuitsmagiques.fr,,798
http://www.wikidata.org/entity/Q3070461,Festival du film d'animation de Baillargues,,,799
http://www.wikidata.org/entity/Q3070463,Festival du film d'aventures de Valenciennes,,,800
http://www.wikidata.org/entity/Q3070465,Festival du film d'Avignon,,,801
http://www.wikidata.org/entity/Q3070467,Festival du film d'éducation,http://www.festivalfilmeduc.net,,802
http://www.wikidata.org/entity/Q3070473,Festival du film de La Réunion,,,803
http://www.wikidata.org/entity/Q3070475,Festival du film de Cabourg,http://www.festival-cabourg.com/,,804
http://www.wikidata.org/entity/Q3070481,Festival du film de Sarlat,http://www.festivaldufilmdesarlat.com,,805
http://www.wikidata.org/entity/Q3070486,Festival du film de Vendôme,,,806
http://www.wikidata.org/entity/Q3070488,Festival du film de chercheur,http://www.filmdechercheur.eu/,,807
http://www.wikidata.org/entity/Q3070489,Festival du film de vacances,,,808
http://www.wikidata.org/entity/Q3070491,Festival du film de télévision de Luchon,http://www.festivaldeluchon.tv/,,809
http://www.wikidata.org/entity/Q3070492,Festival du Film Environnemental,https://ffeensip.com/,,810
http://www.wikidata.org/entity/Q3070503,Festival du film francophone d'Angoulême,http://www.filmfrancophone.fr,,811
http://www.wikidata.org/entity/Q3070516,Festival du film italien de Villerupt,http://www.festival-villerupt.com,,812
http://www.wikidata.org/entity/Q3070517,Festival du film scientifique de La Réunion,,,813
http://www.wikidata.org/entity/Q3070519,Festival du film italien d'Annecy,https://annecycinemaitalien.com/,,814
http://www.wikidata.org/entity/Q3070520,Festival du film web amateur,,,815
http://www.wikidata.org/entity/Q3070523,Festival du grain à démoudre,http://www.dugrainademoudre.net/,,816
http://www.wikidata.org/entity/Q3070524,Festival du jeu,,,817
http://www.wikidata.org/entity/Q3070525,Festival du livre de Mouans-Sartoux,,,818
http://www.wikidata.org/entity/Q3070532,Festival du premier film francophone de La Ciotat,,,819
http://www.wikidata.org/entity/Q3070537,Festival en Othe,http://www.festivalenothe.org/,,820
http://www.wikidata.org/entity/Q3070540,Festival estival de Trélazé,http://www.festival-estival.fr,,821
http://www.wikidata.org/entity/Q3070543,Festival européen de la photo de nu,https://www.fepn-arles.com/,,822
http://www.wikidata.org/entity/Q3070546,Festival européen du théâtre lycéen francophone,https://www.fetlyf-lyceenssurlesplanches.com/,,823
http://www.wikidata.org/entity/Q3070550,Festival européen du film fantastique de Strasbourg,https://strasbourgfestival.com,,824
http://www.wikidata.org/entity/Q3070554,Festival international Albert-Roussel,http://ciar.e-monsite.com/,,825
http://www.wikidata.org/entity/Q3070557,Festival international Cinéma et Costumes de Moulins,,,826
http://www.wikidata.org/entity/Q3070560,Festival international Jean-Sébastien Bach de Saint-Donat-sur-l'Herbasse,http://www.cmi-bach.com,,827
http://www.wikidata.org/entity/Q3070573,Festival international d'art contemporain de Royan,,,828
http://www.wikidata.org/entity/Q3070576,Festival international d'opéra baroque de Beaune,http://www.festivalbeaune.com,,829
http://www.wikidata.org/entity/Q3070578,Festival international de Paris du film fantastique et de science-fiction,,,830
http://www.wikidata.org/entity/Q3070588,Festival international de films de femmes de Créteil,http://www.filmsdefemmes.com/,,831
http://www.wikidata.org/entity/Q3070601,Festival international de mode et de photographie,https://villanoailles.com/,,832
http://www.wikidata.org/entity/Q3070606,Festival international de musique de Colmar,http://www.festival-colmar.com,,833
http://www.wikidata.org/entity/Q3070609,Festival international de musique de chambre de Provence,https://festival-salon.fr,,834
http://www.wikidata.org/entity/Q3070612,Festival international de musique de Wissembourg,http://www.wissembourg-festival.com,,835
http://www.wikidata.org/entity/Q3070615,Festival international de musique du Comminges,http://www.festival-du-comminges.com,,836
http://www.wikidata.org/entity/Q3070616,Festival international de musique de Besançon Franche-Comté,http://www.festival-besancon.com,,837
http://www.wikidata.org/entity/Q3070625,Festival international de théâtre de rue,http://www.aurillac.net/,,838
http://www.wikidata.org/entity/Q3070630,Festival international de quatuors à cordes du Luberon,http://www.quatuors-luberon.org,,839
http://www.wikidata.org/entity/Q3070638,Festival international du film de Saint-Jean-de-Luz,http://www.fifsaintjeandeluz.com/,,840
http://www.wikidata.org/entity/Q3070640,Festival international des jeux,http://www.festivaldesjeux-cannes.com/,,841
http://www.wikidata.org/entity/Q3070642,Festival international des littératures policières,,,842
http://www.wikidata.org/entity/Q3070644,Festival international des médias audiovisuels corporate,,,843
http://www.wikidata.org/entity/Q3070649,Festival international des scénaristes,http://www.scenarioaulongcourt.com/,,844
http://www.wikidata.org/entity/Q3070651,Festival international des programmes audiovisuels de Biarritz (FIPADOC),http://www.fipadoc.com,,845
