precision_sur_statut_edifice,statut_juridique_edifice,id_monument_historique
,propriété de la commune,32883
propriété du ministère chargé de la culture : cad. A 495; 497 à 500; 502; 505; 506; 528; 530; 531; 539; 552; 554 à 556; 558; 559; 564; 1901 ; propriété de la commune : cad. A 527; 534; 535,propriété de l'Etat ; propriété de la commune ; propriété privée,32882
,propriété de la commune,36956
,propriété privée,32887
,propriété privée,32888
,propriété de la commune,32889
,propriété de la commune,32890
,propriété de la commune,33343
,propriété privée,32892
,propriété de la commune,32891
,propriété de l'Etat,32893
propriété du ministère chargé de l'agriculture,propriété de l'Etat,36910
,propriété privée,36990
,propriété de la commune,32894
,propriété privée,36945
,propriété privée,36936
,propriété privée,36891
,propriété privée,32896
,propriété de la commune,32895
,propriété privée,32898
propriété d'une personne privée : Pignon Sud d'un bâtiment ; propriété de la commune : Ancienne église abbatiale Saint-Yved,propriété privée ; propriété de la commune,32897
,propriété de la commune,32899
,propriété privée,36204
,propriété privée,32900
propriété privée (B 13; 17; 1503) ; propriété de la commune (section B non numéroté; domaine public),propriété privée ; propriété de la commune,37001
,propriété privée,32902
,propriété de la commune,32901
,propriété de la commune,32903
,,36919
,propriété de la commune,32904
,propriété de la commune,32905
,propriété privée,32908
,propriété de la commune,32909
,propriété privée,32907
,propriété de la commune,32906
,propriété de la commune,32910
,propriété privée,36970
,propriété de la commune,32911
,propriété privée,32912
,propriété de la commune,32913
,propriété privée,32914
,propriété de la commune,33352
,propriété de la commune,32915
,propriété de la commune,32916
propriété du Royaume-Uni,propriété d'un pays étranger,32917
,propriété privée,32918
,propriété de la commune,32919
,propriété privée,33353
,propriété de la commune,32920
,propriété de la commune,32921
,propriété d'une association diocésaine,36982
,propriété privée,32922
,propriété de la commune,32923
,propriété privée,32924
,propriété de la commune,32925
,propriété de la commune,32926
,propriété privée,32927
,propriété de la commune,32928
,propriété de la commune,32930
,propriété de la commune,32931
,propriété de la commune,32937
,propriété de la commune,32936
propriété du centre hospitalier de Château-Thierry,propriété d'un établissement public communal,36953
,propriété de l'état,36983
,propriété privée,32938
propriété de l'Union nationale des associations Eglise réformée de France,propriété d'une association cultuelle,36937
,propriété de la commune,36948
,propriété de la commune,32939
,propriété de la commune,32933
,propriété d'une société privée,36892
,propriété privée,32934
,propriété de la commune,32932
,propriété de la commune,32935
,propriété de la commune,32940
SCI Immo Luz,propriété d'une société privée,36951
,propriété privée,32941
,propriété privée,36988
,propriété de la commune,32942
,propriété de la commune,32943
,propriété de la commune,32944
propriété de la commune de Chivres-Val,propriété de la commune,36921
,propriété de la commune,32945
,propriété de la commune,32946
,,32947
,propriété de la commune,32948
,propriété de la commune,36957
,propriété privée,32949
,propriété privée,32950
,propriété de la commune,32951
,propriété privée,32952
,propriété de la commune,32953
propriété des différentes communes,propriété de la commune,36942
,propriété privée,36911
,propriété de la commune,32954
,propriété de la commune,32956
,propriété privée,32955
,propriété de la commune,32957
,propriété de la commune,36922
,propriété de l'Etat,32959
,propriété de la commune,32958
propriété du ministère chargé de l'équipement pour la partie appartenant à l'Etat,propriété de l'Etat ; propriété du département ; propriété d'une société privée ; propriété privée,33358
,propriété de la commune,32960
,propriété de la commune,32961
,propriété de la commune,32962
propriété des domaines (biens de l'Etat non affectés),propriété de l'Etat,32966
,propriété de l'Etat,32964
