auteur_edifice,personne_liee_a_edifice,id_monument_historique
"Gayrard, Raymond (sculpteur)",,37467
,,37468
Equeter Auguste (peintre),,37449
,,37466
,,37469
,,37465
Pouch Emile (architecte);Galtié André (sculpteur),,37460
,,37480
,,14540
,,14541
,,14542
,,14543
,,14742
,,14545
,,14547
,,14546
Salvan Anton (architecte);Grinda (architecte),,14544
,,14548
,,14549
,,14550
,,37407
,,14551
Mahoux François (sculpteur);Lesieur Henri (ferronnier),,37437
,,14552
,,37431
,,14553
,,14554
,,14555
,,14557
,,14558
,,14559
,,14560
,,14561
,,36601
,,14562
,,35964
,,14563
,,14566
,,14567
,,37440
,,14569
,,14568
,,14572
,,14573
,,14574
,,14577
,,14578
,,14751
,,14579
,,37434
,,37422
,,14580
,,37478
,,37477
,,14583
,,14582
,,14584
Gout Paul (maître de l'oeuvre),,14581
,,14585
,,37425
,,14592
,,14587
,,37415
,,37463
,,14593
,,14591
,,37456
Beaudouin Jacques (architecte);Bernard Jean (peintre),,14586
,,14590
,,14589
,,14588
,,37450
,,37417
,,37451
,,37452
,,37462
,,14595
,,14597
,,14596
,,37453
,,14594
,,14556
Debert (peintre),,14598
,,14599
,,14600
,,14601
,,14602
,,14603
,,35652
,,14743
,,14605
,,14604
,,14607
,,14606
Grandet Joseph (sculpteur);Vergnes Eugène (architecte);Rudier Alexis (fondeur),,37461
,,37416
,,14611
,,14613
,,14608
,,14609
,,14612
,,14610
,,14614
,,14617
,,14618
,,14616
,,37441
Viguier (architecte),,37442
,,14615
,,14619
,,14620
,,37470
,,14621
,,14744
,,14622
Sacquin Gérard (architecte);Association diocésaine (maître d'ouvrage);Charles (charpentier),,37435
,,35966
,,14623
,,14624
,,14759
,,14761
,,14762
,,14763
,,14764
,,14760
,,14625
,,14626
,,37481
,,14627
,,14628
,,14630
,,14629
,,14631
,,14632
,,35965
,,37418
,,14633
,,37412
,,35653
,,35967
,,14634
,,14745
,,14635
,,14640
,,14657
,,14637
Cassagnes Bernard (maître de l'oeuvre);Boesnier (ingénieur);Salinier (peintre),,14639
Pons Henri (architecte),,37438
,,14647
,,14648
,,14649
,,14650
,,14752
,,14651
,,14659
,,14741
,,14642
,,14646
,,14652
,,14641
Puech Denys Pierre (sculpteur),,14638
,,14645
,,14653
,,14658
,,14654
,,14656
,,14643
,,14655
,,14644
Boyer André (architecte);Lacourt Louis (ferronnier);Bompard Maurice (peintre),,37454
,,14636
,,14660
,,14661
,,14662
,,14663
,,14664
,,14665
,,14768
,,36602
,,37413
,,37436
,,14667
,,14666
,,14669
,,14668
,,37419
,,14750
,,14670
,,14674
,,14675
,,14673
,,14672
,,14676
,,14677
,,14678
,,14679
,,14680
Grandon Jean (peintre);Grandon Charles (peintre),,14682
PARIE Jean (maître de l'oeuvre),,14681
Parate Jean (architecte),,37401
Parate Jean (architecte),,14683
,,37402
,,14684
Bourzes Antoine (maître de l'oeuvre),,14685
,,14746
,,14686
,,37476
,,37444
,,35968
,,14689
,,14688
,,14687
Vigouroux Jean (architecte);Parayre Henry (sculpteur),,37458
,,14765
,,14690
,,37426
,,14691
,,14693
,,14692
,,14694
,,14695
,,14696
,,14698
,,14697
,,14699
,,36603
,,35655
,,14702
,,14701
,,37457
,,14706
,,35654
,,35969
,,37409
,,37408
,,37464
,,14703
,,14705
,,37432
,,14704
,,14700
,,14749
,,14521
,,37474
,,14707
,,37420
,Pomairols Charles de (habitant célèbre),35970
,,35656
,,14708
,,14710
,,14709
,,14711
,,36604
,,14712
,,14753
,,14754
,,14713
,,14714
,,14715
,,14716
,Pomairols Charles de (habitant célèbre),35657
,,14757
,,14718
,,14719
,,14720
,,14721
,,14722
,Vezins Arnaud de (personnage célèbre),14747
,,14723
,,35658
,,14724
,,37410
,,14725
,,14766
,,14767
,,14726
,,14730
,,14748
,,35659
,,14729
,,14727
,,37429
,,14728
,,14733
,,37479
,,37475
,,14732
,,14731
,,14734
,"Rodat Emilie de, sainte (habitant célèbre)",14735
,,37411
,,14738
,,37447
,,14739
,,14740
,,37403
,,14736
,,37472
,,37471
,,14737
,,2302
,,2311
,,2318
,,2325
,,35792
,,2337
,,2423
,,2397
,,2419
,,2416
,,2330
,,2327
,,2329
,,2429
,,2309
,,2417
,,2418
CHASTEL (maître de l'oeuvre),,2336
LEDOUX Claude Nicolas (architecte);PENCHAUD Michel-Robert (architecte);RAMUS Joseph Marius (sculpteur),,2420
VALLON (maître de l'oeuvre);CHASTEL (maître de l'oeuvre);CEZANNE (maître de l'oeuvre);RENOIR (maître de l'oeuvre),,2333
,,2398
,,37568
,,2373
,,2332
Bellmer Hans (peintre);Ernst Max (peintre),,2430
,,37520
,,2315
,,2390
,,2391
CUNDIER Louis (maître de l'oeuvre),,2364
,,2399
JAUBERT Jean (maître de l'oeuvre),,2796
JAUBERT Jean (maître de l'oeuvre),,2797
,,2365
,,2317
,,2387
,,2400
,,2401
,,2425
,,2354
,,2372
,,2383
PAVILLON Pierre (architecte),,2367
,,2402
,,2403
LOMBARD Jean (architecte);VALLON Laurent (architecte),,2345
,,2328
,,2374
,,2404
,Cézanne Paul (habitant célèbre),37482
,,2310
,,2414
VERNET Joseph (peintre);LAINE Thomas (décorateur),,2381
ROUTIER Joseph (maître de l'oeuvre),,2350
,,2377
,,2355
,,2814
,,2427
,,2321
,,2339
,,2342
PAVILLON Pierre (architecte),,2385
,,2348
,,2405
VALLON Laurent (maître de l'oeuvre),,2324
,,37587
,,2406
,,2407
,,2314
,,2799
,,2378
,,2356
,,2362
,,2384
,,2369
,,2344
CHASTEL (maître de l'oeuvre),,2322
,,2413
,,2335
,,2363
,,2323
,,2346
,,2361
,,2393
VALLON Georges (architecte),,2807
,,2382
Veyrier Thomas (architecte);Vallon Laurent (architecte),,2312
,,2394
,,2395
,,2334
,,2428
Pavillon Pierre (architecte);Rambot Jean-Claude (architecte);Ziegler Rodolphe (peintre),,2366
,,2347
VEYRIER Thomas (architecte);BARRAS Sébastien (maître de l'oeuvre),,2360
,,2313
,,2371
,,2304
RAMBOT Jean-Michel (sculpteur);MICHEL Jean-Louis (sculpteur),,2343
,,2408
VALLON Laurent (maître de l'oeuvre);REVOIL Henri Antoine (architecte),,2326
,,2409
,,2306
,,2307
,,2305
,,2320
,,2392
,,2340
DARET Jean (architecte);JAUBERT Jean (maître maçon);VALLON Laurent (maître maçon),,36752
PAVILLON Pierre (architecte);RAMBOT (maître de l'oeuvre),,2349
,,2388
,,2798
,,2396
,,2386
,,2410
,,2370
TORO Bernard (maître de l'oeuvre),,2351
,,2380
,,37483
,L'Enfant Pierre Charles (personnage célèbre),2319
,,2341
,,2338
,,2389
,,2379
,,2308
,,2411
,,2412
,,2331
Daniel Jérôme (peintre);Daniel Jean-Baptiste (peintre),,37543
FRANQUE Jean-Baptiste (maître de l'oeuvre),,2375
PAVILLON Pierre (architecte),,2808
,,2353
VALLON Laurent (maître de l'oeuvre);JAUBERT Joseph (maître de l'oeuvre);VALLON Jean (maître de l'oeuvre),,2813
COTTE Robert de (maître de l'oeuvre);AUBERT Fr. (maître de l'oeuvre);VALLON Georges (architecte),,2376
LOMBARD Jean (architecte);PAVILLON Pierre (architecte),,2358
,,2316
,,2426
,"Van Loo Jean-Baptiste, peintre (habitant célèbre)",2424
,,2352
,,2359
Cézanne (maître de l'oeuvre),Cézanne Paul (habitant célèbre),2421
,,2415
,,2303
,,2422
DARET Jean (architecte),,2357
,,2368
,,2431
,,2433
,,2432
,,37523
,,2434
,,2436
,,2435
,,2437
,,2440
,,2441
,,2444
,,2495
,,2816
,,2502
,,2458
,,2472
,,2481
,,37525
,,2501
,,2448
,,2439
,,2498
,,2505
,,2508
,,2507
,,2456
,,2454
,,2452
,,2455
,,2509
,,2510
,,37539
BOREL Antoine (maître de l'oeuvre),,2449
Combarnous (ingénieur);Aubran (entrepreneur),,37544
NELSON Paul (architecte),,37484
,,2438
,,2451
,,2482
,,2474
,,2483
,,2484
,,2485
,,2486
,,2460
,,37555
,,2499
,,36753
,,2487
,,37564
,,2488
,,2494
,,2459
,,2475
,,2504
Rivière Théodore (sculpteur);Férigoule Claude (sculpteur),,37530
,,2489
,,2466
,,2468
,,2463
DEDIEU (maître de l'oeuvre),,2497
,,37557
,,2496
,,37556
,,2476
,,2503
,,37503
,,2490
,,2469
,,2477
,,2457
,,2473
,,2467
,,2478
,,2491
,,2500
,,2492
,,2493
,,2450
,,2447
,,2443
,,2470
,,2465
,,37550
,,37572
,,37504
,,2479
,,2471
,,2464
,,36754
,,2506
,,2480
,,2442
,,2462
,,2446
,,2453
,,2445
,,2461
,,2511
,,2512
,,2513
Chauvet Louis (architecte);Castel Gaston (architecte);Raybaud Henri (sculpteur),,37535
Pourquet Charles Henry (sculpteur);Mahut Maurice (peintre),,37565
,,2736
,,2514
,,2515
,,35793
,,2519
,,2517
,,2516
,,2518
,,2522
,,2521
,,2523
,,2540
,,2526
,,2528
,,2529
,,2530
,,2533
,,2532
,,2539
,,2535
,,2524
,,2537
,,2536
,,2525
,,2531
,,2527
,,2534
,,2520
,,2538
,,2542
,,2541
,,2821
,,2543
,,37524
,,2544
,,2546
,,2547
,,37493
,,37485
,,2549
,,2545
,,2548
,,37573
Carli François (sculpteur),,37536
,,2822
Riousse J. (peintre-verrier);Mélik Edouard (peintre),,37542
,,2551
,,2550
,,2553
,,2552
,,37508
,,37509
,,2554
,"LUMIERE Antoine (cinéaste, habitant célèbre)  LUMIERE Louis (cinéaste, habitant célèbre)",37487
,,37583
,LUMIERE Louis (habitant célèbre)  LUMIERE Auguste (habitant célèbre),37505
Martin Auguste (architecte);Aldebert Emile (sculpteur),,37584
,,37545
,LUMIERE Louis (cinéaste)  LUMIERE Antoine (cinéaste),37486
,,37582
,,2555
,,2557
PAVILLON Pierre (architecte),,2556
,,2558
,,2559
,,2561
,,2562
,,2563
,,2560
,,2564
,,2565
,,2568
,,2567
BRUN Esprit-Joseph (maître de l'oeuvre),,2566
,,2569
,,2570
,,2815
,,2571
,,2575
,,2576
,,2577
,,2578
,,36755
,,2581
,,2580
,,2573
,,2572
,Daudet Alphonse (personnage célèbre),2583
,,2584
,,2586
,,2588
,,37488
,,2579
,,2582
,,2587
,,2585
,,2574
,,2589
,,2591
,,2590
Pamart Emile (architecte);Aguilar (ingénieur),,37540
,,2592
,,2593
,,2594
,,2596
,,2595
,,2597
,Delavouet Max-Philippe (habitant célèbre),37489
,,2599
HELY D'OISSEL;(ingénieur);DEROBERT (entrepreneur),,2800
,,2600
,,2601
,,2602
BRUN Esprit-Joseph (architecte),,37494
,,37501
Denis (sculpteur),,37531
,,2607
,,36756
,,2605
,,2606
,,2603
,,2604
CROZET Jean (architecte),,2801
,,2610
,,2608
,,2613
,,2619
,,2612
,,2618
,,2617
,,2616
,,2609
SENES (peintre),,37490
,,2614
,,2611
,,2620
,,2615
,,2622
,,37507
,,2625
,,2623
,,2626
,,2624
,,2621
,"Mistral Frédéric, écrivain (habitant célèbre)",2628
,"Mistral Frédéric, écrivain (habitant célèbre)",2627
,,2630
,,2629
,,2631
,,35794
,,2632
,,2811
Vallon Laurent (maître maçon);Daret Jean (architecte),,2633
,,2688
,,2691
,,2689
Vauban Sébastien Le Prestre de;marquis (ingénieur militaire),,2690
ARATI Alphonse (architecte);BOYER Marius (architecte);LESTRADE Charles (architecte);PROUVE Jean (ingénieur),,37515
,,2687
,"Maurras Charles, écrivain (habitant célèbre)",2686
,,2692
,,36758
MOTTARD Joseph Abel (architecte);DAMOUR Antoine (maitre maçon),LAUGIER Joseph de (commanditaire),37498
Bruyère André (architecte),,37548
,,2693
,,2694
,,2803
,,2823
,,2695
,,2696
,,2697
,,2698
,,2699
,,37513
,,2700
,,2705
,,2702
,,2704
,,2701
,,2703
,,2706
,,37588
Beissière Laurent (peintre);Ratye Georges (peintre);Audran Jacques (maître d’euvre);Audran Pierre (maître d’oeuvre),,37571
,,2708
,,2709
,,2819
,,36021
,,2707
,,2710
,,2711
,,2712
,,37514
,,2713
,,2714
,,2716
,,2715
,,2718
,,37566
,,2717
,,37569
,,2719
,,37510
,,36759
,,2804
,,2721
,,2720
,,2723
,,37511
,,2722
,,2724
,,2725
,,36760
,,2727
,,2726
,,2728
,,2730
,,2731
,,2729
,,2732
,,2733
,,2735
,,2734
,,2758
,,2760
,,2759
Veran Auguste (architecte);Blanqui Auguste (ébéniste),,2757
,,2737
,,2738
,,35799
,,2739
,,2820
