id_festival,decennie_creation_festival,annee_creation_festival,periode_principale_deroulement_festival
285,2010 et après,2014,Avant-saison (1er janvier - 20 juin)
1703,2010 et après,2015,Après-saison (6 septembre - 31 décembre)
2895,De 2000 à 2009,2006,Saison (21 juin - 5 septembre)
6350,,,Après-saison (6 septembre - 31 décembre)
1069,De 2000 à 2009,,Saison (21 juin - 5 septembre)
5584,De 2000 à 2009,2003,Après-saison (6 septembre - 31 décembre)
5935,De 2000 à 2009,2003,Après-saison (6 septembre - 31 décembre)
5957,2010 et après,2014,Saison (21 juin - 5 septembre)
16,De 2000 à 2009,18ème,Saison (21 juin - 5 septembre)
768,2010 et après,2013,Avant-saison (1er janvier - 20 juin)
3001,2010 et après,2012,Avant-saison (1er janvier - 20 juin)
4910,2010 et après,2016,Saison (21 juin - 5 septembre)
4973,2010 et après,2018,Avant-saison (1er janvier - 20 juin)
6056,De 2000 à 2009,2005,Avant-saison (1er janvier - 20 juin)
7069,De 1990 à 1999,1998,Saison (21 juin - 5 septembre)
45,De 2000 à 2009,18ème,Avant-saison (1er janvier - 20 juin)
624,2010 et après,2011,Après-saison (6 septembre - 31 décembre)
6937,2010 et après,2015,Saison (21 juin - 5 septembre)
1910,2010 et après,2013,Avant-saison (1er janvier - 20 juin)
6639,De 1990 à 1999,1998,Saison (21 juin - 5 septembre)
6112,2010 et après,2015,Saison (21 juin - 5 septembre)
6917,2010 et après,2018,Saison (21 juin - 5 septembre)
3612,2010 et après,2010,Saison (21 juin - 5 septembre)
1432,De 1990 à 1999,1998,Saison (21 juin - 5 septembre)
2345,De 1990 à 1999,1997,Avant-saison (1er janvier - 20 juin)
4682,De 2000 à 2009,2002,Avant-saison (1er janvier - 20 juin)
295,De 1980 à 1989,1983,Saison (21 juin - 5 septembre)
6773,De 2000 à 2009,2002,Avant-saison (1er janvier - 20 juin)
5711,De 2000 à 2009,2007,Saison (21 juin - 5 septembre)
6045,2010 et après,2013,Saison (21 juin - 5 septembre)
1748,De 2000 à 2009,2009,Avant-saison (1er janvier - 20 juin)
5414,2010 et après,2021,Après-saison (6 septembre - 31 décembre)
2669,2010 et après,2017,Après-saison (6 septembre - 31 décembre)
2060,De 1980 à 1989,1982,Saison (21 juin - 5 septembre)
4537,De 1990 à 1999,1997,Saison (21 juin - 5 septembre)
4949,2010 et après,2013,Saison (21 juin - 5 septembre)
300,De 2000 à 2009,2008,Saison (21 juin - 5 septembre)
3354,De 2000 à 2009,2008,Saison (21 juin - 5 septembre)
3511,2010 et après,2019,Avant-saison (1er janvier - 20 juin)
5451,De 1990 à 1999,1992,Saison (21 juin - 5 septembre)
6261,2010 et après,2019,Avant-saison (1er janvier - 20 juin)
4031,2010 et après,,Avant-saison (1er janvier - 20 juin)
6014,2010 et après,2017,Saison (21 juin - 5 septembre)
5112,,,Avant-saison (1er janvier - 20 juin)
6270,2010 et après,2010,Saison (21 juin - 5 septembre)
4227,2010 et après,2018,Avant-saison (1er janvier - 20 juin)
2117,Avant 1980,,Saison (21 juin - 5 septembre)
5140,De 1990 à 1999,1998,Après-saison (6 septembre - 31 décembre)
4060,,,Après-saison (6 septembre - 31 décembre)
5829,De 1990 à 1999,1995,Saison (21 juin - 5 septembre)
612,De 2000 à 2009,2005,Saison (21 juin - 5 septembre)
525,2010 et après,,Après-saison (6 septembre - 31 décembre)
7034,De 1990 à 1999,,Saison (21 juin - 5 septembre)
1113,2010 et après,2016,Après-saison (6 septembre - 31 décembre)
2169,,,Saison (21 juin - 5 septembre)
4610,De 2000 à 2009,2004,Avant-saison (1er janvier - 20 juin)
3246,De 1980 à 1989,1985,Saison (21 juin - 5 septembre)
4630,De 2000 à 2009,2004,Après-saison (6 septembre - 31 décembre)
4994,De 2000 à 2009,2009,Avant-saison (1er janvier - 20 juin)
7048,2010 et après,2015,Après-saison (6 septembre - 31 décembre)
1548,Avant 1980,1977,Saison (21 juin - 5 septembre)
6709,2010 et après,2020,Saison (21 juin - 5 septembre)
4655,,,Saison (21 juin - 5 septembre)
6984,2010 et après,,Saison (21 juin - 5 septembre)
607,De 1990 à 1999,1997,Après-saison (6 septembre - 31 décembre)
5277,2010 et après,2016,Avant-saison (1er janvier - 20 juin)
6434,De 2000 à 2009,2006,Après-saison (6 septembre - 31 décembre)
1228,2010 et après,2016,Avant-saison (1er janvier - 20 juin)
4218,De 2000 à 2009,2003,Saison (21 juin - 5 septembre)
463,De 2000 à 2009,,Saison (21 juin - 5 septembre)
1211,2010 et après,2012,Après-saison (6 septembre - 31 décembre)
769,2010 et après,2015,Avant-saison (1er janvier - 20 juin)
2108,2010 et après,2013,Saison (21 juin - 5 septembre)
3208,2010 et après,2017,Saison (21 juin - 5 septembre)
85,De 2000 à 2009,2007,Saison (21 juin - 5 septembre)
163,2010 et après,2021,Saison (21 juin - 5 septembre)
313,De 1980 à 1989,1982,Après-saison (6 septembre - 31 décembre)
323,De 2000 à 2009,2006,Après-saison (6 septembre - 31 décembre)
611,2010 et après,2010,Après-saison (6 septembre - 31 décembre)
679,De 2000 à 2009,2003,Après-saison (6 septembre - 31 décembre)
1193,De 1990 à 1999,1998,Après-saison (6 septembre - 31 décembre)
1280,Avant 1980,1948,Saison (21 juin - 5 septembre)
1361,Avant 1980,1948,Saison (21 juin - 5 septembre)
1397,De 1980 à 1989,1984,Avant-saison (1er janvier - 20 juin)
1437,De 2000 à 2009,2004,Avant-saison (1er janvier - 20 juin)
1585,De 1990 à 1999,,Saison (21 juin - 5 septembre)
1932,2010 et après,2015,Avant-saison (1er janvier - 20 juin)
2319,2010 et après,2015,Après-saison (6 septembre - 31 décembre)
2482,2010 et après,2013,Avant-saison (1er janvier - 20 juin)
2624,2010 et après,2016,Après-saison (6 septembre - 31 décembre)
2625,De 2000 à 2009,2005,Saison (21 juin - 5 septembre)
