festival,festivalLabel,participants,website,followers
http://www.wikidata.org/entity/Q3070550,Festival européen du film fantastique de Strasbourg,,https://strasbourgfestival.com,
http://www.wikidata.org/entity/Q3070557,Festival international Cinéma et Costumes de Moulins,,,
http://www.wikidata.org/entity/Q3070573,Festival international d'art contemporain de Royan,,,
http://www.wikidata.org/entity/Q3070578,Festival international de Paris du film fantastique et de science-fiction,,,
http://www.wikidata.org/entity/Q3070588,Festival international de films de femmes de Créteil,,http://www.filmsdefemmes.com/,
http://www.wikidata.org/entity/Q3070638,Festival international du film de Saint-Jean-de-Luz,,http://www.fifsaintjeandeluz.com/,
http://www.wikidata.org/entity/Q3070644,Festival international des médias audiovisuels corporate,,,
http://www.wikidata.org/entity/Q3070649,Festival international des scénaristes,,http://www.scenarioaulongcourt.com/,
http://www.wikidata.org/entity/Q3070651,Festival international des programmes audiovisuels de Biarritz (FIPADOC),,http://www.fipadoc.com,
http://www.wikidata.org/entity/Q3070653,Festival international du cinéma au féminin,,http://www.cinemafeminin.com/,
http://www.wikidata.org/entity/Q3070669,Festival international du court-métrage et de la vidéo de Wattrelos,,,
http://www.wikidata.org/entity/Q3070673,Festival international du court métrage étudiant de Cergy-Pontoise,,http://festival-tyo.com/,
http://www.wikidata.org/entity/Q3070676,Festival international de cinéma de Marseille,,https://fidmarseille.org/,
http://www.wikidata.org/entity/Q8266453,Summerlied,,http://www.summerlied.org,
http://www.wikidata.org/entity/Q3070677,Festival international du film animalier,,http://www.fifa.com.fr/,
http://www.wikidata.org/entity/Q3070679,Festival international du film d'Arras,,http://www.arrasfilmfestival.com/,
http://www.wikidata.org/entity/Q3070687,Festival international du film d'environnement de Paris,,https://lefredd.org,
http://www.wikidata.org/entity/Q3070689,Festival international du film d'histoire de Pessac,,http://www.cinema-histoire-pessac.com/,
http://www.wikidata.org/entity/Q3070703,Festival international du film de La Roche-sur-Yon,,http://www.fif-85.com,
http://www.wikidata.org/entity/Q3070709,Festival international du film de La Rochelle,,http://www.festival-larochelle.org,
http://www.wikidata.org/entity/Q3070749,Festival international du film de création super 8 de Metz,,,
http://www.wikidata.org/entity/Q3070750,Festival international du film de comédie de l'Alpe d'Huez,,http://www.festival-alpedhuez.com/,
http://www.wikidata.org/entity/Q3070751,Festival international du film de l'internet,,,
http://www.wikidata.org/entity/Q3070754,Festival international du film des droits de l'homme,,,
http://www.wikidata.org/entity/Q3070756,Festival international du film documentaire sur la ruralité,,,
http://www.wikidata.org/entity/Q3070757,Festival international du film documentaire océanien,,http://www.fifo-tahiti.com/,
http://www.wikidata.org/entity/Q3070796,Festival international du film indépendant de Bordeaux,,http://www.fifib.com/,
http://www.wikidata.org/entity/Q3070799,Festival international du film indépendant de Lille,,http://www.fifilille.fr/,
